universityid,level,institution_type,specific_college_type
100654,4-year,Public,Masters Colleges and Universities--larger programs
100663,4-year,Public,Research Universities--very high research activity
100690,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
100706,4-year,Public,Research Universities--very high research activity
100724,4-year,Public,Masters Colleges and Universities--larger programs
100751,4-year,Public,Research Universities--high research activity
100760,2-year,Public,Associates--Public Rural-serving Medium
100830,4-year,Public,Masters Colleges and Universities--larger programs
100858,4-year,Public,Research Universities--high research activity
100937,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
101028,2-year,Public,Associates--Public Rural-serving Medium
101073,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101116,4-year,Private for-profit,Baccalaureate/Associates Colleges
101143,2-year,Public,Associates--Public Rural-serving Medium
101161,2-year,Public,Associates--Public Suburban-serving Multicampus
101189,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101240,2-year,Public,Associates--Public Rural-serving Large
101286,2-year,Public,Associates--Public Rural-serving Medium
101295,2-year,Public,Associates--Public Rural-serving Medium
101301,2-year,Public,Associates--Public Rural-serving Medium
101365,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
101435,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101462,2-year,Public,Associates--Public Rural-serving Small
101480,4-year,Public,Masters Colleges and Universities--larger programs
101499,2-year,Public,Associates--Public Rural-serving Small
101505,2-year,Public,Associates--Public Urban-serving Multicampus
101514,2-year,Public,Associates--Public Rural-serving Large
101541,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
101569,2-year,Public,Associates--Public Urban-serving Multicampus
101587,4-year,Public,Masters Colleges and Universities--larger programs
101602,2-year,Public,Associates--Public Rural-serving Small
101648,2-year,Public,Associates--Public Rural-serving Small
101675,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101693,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101709,4-year,Public,Masters Colleges and Universities--medium programs
101736,2-year,Public,Associates--Public Rural-serving Medium
101879,4-year,Public,Masters Colleges and Universities--larger programs
101897,2-year,Public,Associates--Public Rural-serving Medium
101912,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101949,2-year,Public,Associates--Public Rural-serving Small
101958,2-year,Private for-profit,Associates--Private For-profit
101994,2-year,Public,Associates--Public Rural-serving Small
102030,2-year,Public,Associates--Public Urban-serving Multicampus
102049,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
102058,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
102067,2-year,Public,Associates--Public Rural-serving Large
102076,2-year,Public,Associates--Public Rural-serving Medium
102094,4-year,Public,Research Universities--high research activity
102234,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
102261,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
102270,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
102298,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
102313,2-year,Public,Associates--Public Rural-serving Small
102368,4-year,Public,Masters Colleges and Universities--larger programs
102377,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
102429,2-year,Public,Associates--Public Rural-serving Medium
102553,4-year,Public,Masters Colleges and Universities--larger programs
102614,4-year,Public,Research Universities--high research activity
102632,4-year,Public,Masters Colleges and Universities--smaller programs
102669,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
102845,4-year,Private for-profit,Baccalaureate/Associates Colleges
103361,2-year,Public,Associates--Public Rural-serving Medium
103644,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
103893,4-year,Private for-profit,Associates--Private For-profit
103909,2-year,Private for-profit,Not applicable- not in Carnegie universe
103927,2-year,Private for-profit,Not applicable- not in Carnegie universe
103945,4-year,Private not-for-profit,Associates--Private For-profit
104090,4-year,Private for-profit,Baccalaureate/Associates Colleges
104151,4-year,Public,Research Universities--very high research activity
104160,2-year,Public,Associates--Public Rural-serving Large
104179,4-year,Public,Research Universities--very high research activity
104188,4-year,Private for-profit,Schools of art- music- and design
104346,2-year,Public,Associates--Public Suburban-serving Multicampus
104364,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
104425,2-year,Public,Associates--Public Rural-serving Large
104577,2-year,Public,Associates--Public Rural-serving Large
104586,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
104708,2-year,Public,Associates--Public Urban-serving Multicampus
104717,4-year,Private for-profit,Masters Colleges and Universities--larger programs
104805,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
105118,2-year,Private for-profit,Associates--Private For-profit
105145,2-year,Public,Associates--Public Urban-serving Multicampus
105154,2-year,Public,Associates--Public Urban-serving Multicampus
105163,4-year,Private for-profit,Other technology-related schools
105172,4-year,Private for-profit,Other technology-related schools
105206,2-year,Public,Associates--Public Suburban-serving Multicampus
105297,4-year,Public,Tribal Colleges
105330,4-year,Public,Research Universities--high research activity
105349,2-year,Public,Associates--Public Rural-serving Large
105428,2-year,Public,Associates--Public Urban-serving Multicampus
105516,4-year,Private for-profit,Masters Colleges and Universities--larger programs
105525,2-year,Public,Associates--Public Urban-serving Multicampus
105534,4-year,Private for-profit,Associates--Private For-profit
105543,2-year,Private for-profit,Associates--Private For-profit
105589,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
105659,2-year,Private for-profit,Associates--Private For-profit
105668,2-year,Public,Associates--Public Urban-serving Multicampus
105747,2-year,Public,Associates--Public Urban-serving Single Campus
105792,2-year,Public,Associates--Public Urban-serving Multicampus
105899,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
106041,2-year,Private for-profit,Associates--Private For-profit
106102,4-year,Private for-profit,Masters Colleges and Universities--medium programs
106148,2-year,Public,Associates--Public Rural-serving Large
106245,4-year,Public,Doctoral/Research Universities
106306,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
106342,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
106397,4-year,Public,Research Universities--very high research activity
106412,4-year,Public,Baccalaureate Colleges--Diverse Fields
106449,2-year,Public,Associates--Public 2-year colleges under 4-year universities
106458,4-year,Public,Masters Colleges and Universities--larger programs
106467,4-year,Public,Masters Colleges and Universities--larger programs
106485,4-year,Public,Masters Colleges and Universities--smaller programs
106625,2-year,Public,Associates--Public Rural-serving Medium
106704,4-year,Public,Masters Colleges and Universities--larger programs
106713,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
106795,2-year,Public,Associates--Public 2-year colleges under 4-year universities
106810,4-year,Private not-for-profit,Associates--Private Not-for-profit 4-year Primarily Associates
106883,2-year,Public,Associates--Public Rural-serving Small
106980,2-year,Public,Associates--Public Rural-serving Medium
106999,2-year,Public,Associates--Public 2-year colleges under 4-year universities
107044,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
107071,4-year,Public,Masters Colleges and Universities--medium programs
107080,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
107141,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
107318,2-year,Public,Associates--Public Suburban-serving Single Campus
107327,2-year,Public,Associates--Public Rural-serving Medium
107460,2-year,Public,Associates--Public Rural-serving Medium
107512,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
107521,2-year,Public,Associates--Public Rural-serving Small
107549,2-year,Public,Associates--Public Rural-serving Small
107558,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
107585,2-year,Public,Associates--Public 2-year colleges under 4-year universities
107600,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
107619,2-year,Public,Associates--Public 2-year colleges under 4-year universities
107637,2-year,Public,Associates--Public Rural-serving Medium
107664,2-year,Public,Associates--Public Urban-serving Single Campus
107725,2-year,Public,Associates--Public 2-year colleges under 4-year universities
107743,2-year,Public,Associates--Public Rural-serving Small
107877,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
107974,2-year,Public,Associates--Public Rural-serving Small
107983,4-year,Public,Masters Colleges and Universities--medium programs
107992,2-year,Public,Associates--Public 2-year colleges under 4-year universities
108092,4-year,Public,Baccalaureate/Associates Colleges
108232,4-year,Private for-profit,Schools of art- music- and design
108250,4-year,Private for-profit,Other technology-related schools
108667,2-year,Public,Associates--Public Urban-serving Multicampus
108807,2-year,Public,Associates--Public Rural-serving Large
108852,2-year,Private not-for-profit,Associates--Private Not-for-profit
109040,2-year,Private for-profit,Associates--Private For-profit
109208,2-year,Public,Associates--Public Urban-serving Multicampus
109350,2-year,Public,Associates--Public Suburban-serving Single Campus
109651,4-year,Private not-for-profit,Schools of art- music- and design
109785,4-year,Private not-for-profit,Doctoral/Research Universities
109819,2-year,Public,Associates--Public Urban-serving Multicampus
109907,2-year,Public,Associates--Public Suburban-serving Single Campus
110060,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
110097,4-year,Private not-for-profit,Doctoral/Research Universities
110185,4-year,Private for-profit,Schools of art- music- and design
110219,4-year,Private for-profit,Associates--Private For-profit
110246,2-year,Public,Associates--Public Rural-serving Large
110334,2-year,Public,Associates--Public Rural-serving Large
110361,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
110370,4-year,Private not-for-profit,Schools of art- music- and design
110404,4-year,Private not-for-profit,Research Universities--very high research activity
110413,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
110422,4-year,Public,Masters Colleges and Universities--larger programs
110468,4-year,Private not-for-profit,Doctoral/Research Universities
110486,4-year,Public,Masters Colleges and Universities--larger programs
110495,4-year,Public,Masters Colleges and Universities--larger programs
110510,4-year,Public,Masters Colleges and Universities--larger programs
110529,4-year,Public,Masters Colleges and Universities--larger programs
110538,4-year,Public,Masters Colleges and Universities--larger programs
110547,4-year,Public,Masters Colleges and Universities--larger programs
110556,4-year,Public,Masters Colleges and Universities--larger programs
110565,4-year,Public,Masters Colleges and Universities--larger programs
110574,4-year,Public,Masters Colleges and Universities--larger programs
110583,4-year,Public,Masters Colleges and Universities--larger programs
110592,4-year,Public,Masters Colleges and Universities--larger programs
110608,4-year,Public,Masters Colleges and Universities--larger programs
110617,4-year,Public,Masters Colleges and Universities--larger programs
110635,4-year,Public,Research Universities--very high research activity
110644,4-year,Public,Research Universities--very high research activity
110653,4-year,Public,Research Universities--very high research activity
110662,4-year,Public,Research Universities--very high research activity
110671,4-year,Public,Research Universities--very high research activity
110680,4-year,Public,Research Universities--very high research activity
110705,4-year,Public,Research Universities--very high research activity
110714,4-year,Public,Research Universities--very high research activity
110945,4-year,Private not-for-profit,Other health professions schools
111009,2-year,Private for-profit,Associates--Private For-profit
111081,4-year,Private not-for-profit,Schools of art- music- and design
111188,4-year,Public,Baccalaureate Colleges--Diverse Fields
111434,2-year,Public,Associates--Public Suburban-serving Multicampus
111461,2-year,Public,Associates--Public Suburban-serving Single Campus
111638,2-year,Private not-for-profit,Associates--Private Not-for-profit
111887,2-year,Public,Associates--Public Suburban-serving Single Campus
111896,2-year,Public,Associates--Public Urban-serving Multicampus
111920,2-year,Public,Associates--Public Suburban-serving Multicampus
111939,2-year,Public,Associates--Public Suburban-serving Multicampus
111948,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
111966,4-year,Private not-for-profit,Other health professions schools
112075,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
112084,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
112172,2-year,Public,Associates--Public Suburban-serving Single Campus
112190,2-year,Public,Associates--Public Urban-serving Multicampus
112260,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
112385,2-year,Public,Associates--Public Suburban-serving Multicampus
112394,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
112446,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
112561,2-year,Public,Associates--Public Rural-serving Medium
112570,4-year,Private not-for-profit,Schools of art- music- and design
112686,2-year,Public,Associates--Public Suburban-serving Single Campus
112826,2-year,Public,Associates--Public Suburban-serving Multicampus
113096,2-year,Public,Associates--Public Urban-serving Multicampus
113111,2-year,Public,Associates--Public Urban-serving Multicampus
113193,2-year,Public,Associates--Public Rural-serving Large
113218,2-year,Public,Associates--Public Suburban-serving Multicampus
113236,2-year,Public,Associates--Public Suburban-serving Multicampus
113333,2-year,Public,Associates--Public Suburban-serving Multicampus
113573,2-year,Public,Associates--Public Suburban-serving Multicampus
113582,4-year,Private for-profit,Schools of art- music- and design
113634,2-year,Public,Associates--Public Suburban-serving Multicampus
113698,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
113856,2-year,Public,Associates--Public Urban-serving Multicampus
113980,2-year,Public,Associates--Public Suburban-serving Single Campus
114123,2-year,Private for-profit,Associates--Private For-profit
114266,2-year,Public,Associates--Public Urban-serving Multicampus
114354,4-year,Private for-profit,Schools of art- music- and design
114390,4-year,Private for-profit,Associates--Private For-profit
114415,2-year,Private for-profit,Associates--Private For-profit
114433,2-year,Public,Associates--Public Rural-serving Medium
114716,2-year,Public,Associates--Public Suburban-serving Multicampus
114789,2-year,Public,Associates--Public Urban-serving Multicampus
114813,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
114859,2-year,Public,Associates--Public Suburban-serving Multicampus
114938,2-year,Public,Associates--Public Suburban-serving Single Campus
115001,2-year,Public,Associates--Public Suburban-serving Single Campus
115126,2-year,Public,Associates--Public Suburban-serving Multicampus
115296,2-year,Public,Associates--Public Suburban-serving Multicampus
115393,2-year,Public,Associates--Public Rural-serving Large
115409,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
115454,2-year,Private for-profit,Associates--Private For-profit
115472,2-year,Private for-profit,Associates--Private For-profit
115490,2-year,Private for-profit,Associates--Private For-profit
115515,2-year,Private for-profit,Associates--Private For-profit
115533,2-year,Private for-profit,Associates--Private For-profit
115728,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
115755,4-year,Public,Masters Colleges and Universities--medium programs
115773,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
115861,2-year,Public,Associates--Public Rural-serving Large
116439,2-year,Public,Associates--Public Suburban-serving Multicampus
116466,4-year,Private for-profit,Other technology-related schools
116475,4-year,Private for-profit,Other technology-related schools
116484,4-year,Private for-profit,Other technology-related schools
116846,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
117052,2-year,Public,Associates--Public Urban-serving Multicampus
117104,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
117113,4-year,Private for-profit,Schools of art- music- and design
117140,4-year,Private not-for-profit,Doctoral/Research Universities
117168,4-year,Private not-for-profit,Schools of art- music- and design
117195,2-year,Public,Associates--Public Suburban-serving Single Campus
117247,2-year,Public,Associates--Public Urban-serving Multicampus
117274,2-year,Public,Associates--Public Rural-serving Medium
117557,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
117627,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
117645,2-year,Public,Associates--Public Urban-serving Multicampus
117690,2-year,Public,Associates--Public Urban-serving Multicampus
117706,2-year,Public,Associates--Public Urban-serving Multicampus
117715,2-year,Public,Associates--Public Urban-serving Multicampus
117724,2-year,Public,Associates--Public Urban-serving Multicampus
117733,2-year,Public,Associates--Public Urban-serving Multicampus
117751,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
117788,2-year,Public,Associates--Public Urban-serving Multicampus
117867,2-year,Public,Associates--Public Urban-serving Multicampus
117894,2-year,Public,Associates--Public Suburban-serving Multicampus
117928,4-year,Private for-profit,Schools of art- music- and design
117946,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
118198,2-year,Private for-profit,Associates--Private For-profit
118259,2-year,Private for-profit,Associates--Private For-profit
118277,2-year,Private for-profit,Associates--Private For-profit
118286,2-year,Private for-profit,Associates--Private For-profit
118347,2-year,Public,Associates--Public Suburban-serving Multicampus
118541,4-year,Private not-for-profit,Associates--Private Not-for-profit
118684,2-year,Public,Associates--Public Rural-serving Large
118693,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
118718,2-year,Public,Associates--Public Rural-serving Large
118772,2-year,Public,Associates--Public Urban-serving Multicampus
118888,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
118912,2-year,Public,Associates--Public Suburban-serving Multicampus
118930,2-year,Public,Associates--Public Suburban-serving Multicampus
118976,2-year,Public,Associates--Public Rural-serving Large
119067,2-year,Public,Associates--Public Rural-serving Large
119137,2-year,Public,Associates--Public Urban-serving Multicampus
119164,2-year,Public,Associates--Public Suburban-serving Single Campus
119173,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
119216,2-year,Public,Associates--Public Suburban-serving Multicampus
119270,4-year,Private for-profit,Schools of art- music- and design
119331,2-year,Public,Associates--Public Urban-serving Multicampus
119359,2-year,Private for-profit,Not applicable- not in Carnegie universe
119508,2-year,Private for-profit,Associates--Private For-profit
119544,4-year,Private for-profit,Baccalaureate Colleges--Arts & Sciences
119605,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
119775,4-year,Private for-profit,Schools of art- music- and design
120184,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
120254,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
120290,2-year,Public,Associates--Public Suburban-serving Single Campus
120342,2-year,Public,Associates--Public Suburban-serving Multicampus
120403,4-year,Private not-for-profit,Schools of art- music- and design
120421,2-year,Public,Associates--Public Urban-serving Multicampus
120537,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
120661,2-year,Private for-profit,Associates--Private For-profit
120865,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
120883,4-year,Private not-for-profit,Doctoral/Research Universities
120953,2-year,Public,Associates--Public Suburban-serving Multicampus
120971,2-year,Public,Associates--Public Suburban-serving Multicampus
121044,2-year,Public,Associates--Public Suburban-serving Single Campus
121150,4-year,Private not-for-profit,Doctoral/Research Universities
121257,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
121275,4-year,Private for-profit,Schools of art- music- and design
121309,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
121345,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
121363,2-year,Public,Associates--Public Urban-serving Multicampus
121381,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
121619,2-year,Public,Associates--Public Suburban-serving Multicampus
121691,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
121707,2-year,Public,Associates--Public Rural-serving Large
121886,2-year,Public,Associates--Public Suburban-serving Single Campus
121901,2-year,Public,Associates--Public Urban-serving Multicampus
122180,2-year,Public,Associates--Public Urban-serving Multicampus
122205,2-year,Public,Associates--Public Suburban-serving Multicampus
122339,2-year,Public,Associates--Public Urban-serving Multicampus
122366,2-year,Private for-profit,Associates--Private For-profit
122375,2-year,Public,Associates--Public Urban-serving Multicampus
122384,2-year,Public,Associates--Public Urban-serving Multicampus
122409,4-year,Public,Research Universities--high research activity
122436,4-year,Private not-for-profit,Doctoral/Research Universities
122454,4-year,Private not-for-profit,Schools of art- music- and design
122506,4-year,Private not-for-profit,Schools of art- music- and design
122597,4-year,Public,Masters Colleges and Universities--larger programs
122612,4-year,Private not-for-profit,Doctoral/Research Universities
122658,2-year,Public,Associates--Public Urban-serving Multicampus
122685,2-year,Private for-profit,Associates--Private For-profit
122694,2-year,Private for-profit,Associates--Private For-profit
122728,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
122746,2-year,Public,Associates--Public Urban-serving Multicampus
122755,4-year,Public,Masters Colleges and Universities--larger programs
122791,2-year,Public,Associates--Public Suburban-serving Multicampus
122834,4-year,Private for-profit,Associates--Private For-profit
122843,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
122852,4-year,Private for-profit,Associates--Private For-profit
122889,2-year,Public,Associates--Public Rural-serving Large
122931,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
122977,2-year,Public,Associates--Public Suburban-serving Multicampus
123013,2-year,Public,Associates--Public Rural-serving Large
123165,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
123208,2-year,Private for-profit,Associates--Private For-profit
123217,2-year,Public,Associates--Public Rural-serving Large
123299,2-year,Public,Associates--Public Rural-serving Large
123341,2-year,Public,Associates--Public Suburban-serving Multicampus
123457,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
123484,2-year,Public,Associates--Public Rural-serving Medium
123509,2-year,Public,Associates--Public Suburban-serving Multicampus
123527,2-year,Public,Associates--Public Urban-serving Multicampus
123554,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
123563,2-year,Public,Associates--Public Suburban-serving Single Campus
123572,4-year,Public,Masters Colleges and Universities--larger programs
123642,2-year,Private for-profit,Associates--Private For-profit
123651,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
123679,2-year,Private for-profit,Associates--Private For-profit
123800,2-year,Public,Associates--Public Suburban-serving Single Campus
123952,4-year,Private not-for-profit,Schools of art- music- and design
123961,4-year,Private not-for-profit,Research Universities--very high research activity
124113,2-year,Public,Associates--Public Suburban-serving Single Campus
124292,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
124487,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
124681,2-year,Private for-profit,Not applicable- not in Carnegie universe
124706,2-year,Private for-profit,Associates--Private For-profit
124937,2-year,Private for-profit,Associates--Private For-profit
125028,2-year,Public,Associates--Public Urban-serving Multicampus
125091,2-year,Public,Associates--Public Suburban-serving Single Campus
125170,2-year,Public,Associates--Public Urban-serving Multicampus
125231,4-year,Private for-profit,Doctoral/Research Universities
125462,2-year,Public,Associates--Public Suburban-serving Multicampus
125471,2-year,Public,Associates--Public Urban-serving Multicampus
125499,2-year,Public,Associates--Public Suburban-serving Multicampus
125532,2-year,Private for-profit,Associates--Private For-profit
125727,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
125763,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
125897,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
126076,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
126119,2-year,Public,Associates--Public Rural-serving Large
126182,4-year,Public,Masters Colleges and Universities--medium programs
126207,2-year,Public,Associates--Public Rural-serving Medium
126289,2-year,Public,Associates--Public Suburban-serving Multicampus
126359,2-year,Private for-profit,Associates--Private For-profit
126401,2-year,Private for-profit,Associates--Private For-profit
126562,4-year,Public,Research Universities--high research activity
126580,4-year,Public,Masters Colleges and Universities--larger programs
126605,2-year,Private for-profit,Associates--Private For-profit
126614,4-year,Public,Research Universities--very high research activity
126669,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
126678,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
126687,2-year,Private for-profit,Associates--Private For-profit
126702,4-year,Private for-profit,Schools of art- music- and design
126711,4-year,Public,Associates--Public Rural-serving Large
126748,2-year,Public,Associates--Public Rural-serving Medium
126775,4-year,Public,Research Universities--high research activity
126784,2-year,Private for-profit,Associates--Private For-profit
126818,4-year,Public,Research Universities--very high research activity
126827,4-year,Private for-profit,Doctoral/Research Universities
126863,2-year,Public,Associates--Public Suburban-serving Multicampus
126872,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
126924,2-year,Private for-profit,Associates--Private For-profit
126942,2-year,Public,Associates--Public Urban-serving Multicampus
126951,2-year,Private for-profit,Associates--Private For-profit
127024,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
127060,4-year,Private not-for-profit,Research Universities--high research activity
127185,4-year,Public,Baccalaureate Colleges--Arts & Sciences
127200,2-year,Public,Associates--Public Suburban-serving Multicampus
127389,2-year,Public,Associates--Public Rural-serving Small
127556,4-year,Public,Baccalaureate Colleges--Arts & Sciences
127565,4-year,Public,Baccalaureate Colleges--Diverse Fields
127617,2-year,Public,Associates--Public Rural-serving Medium
127653,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
127680,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
127699,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
127714,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
127732,2-year,Public,Associates--Public Rural-serving Medium
127741,4-year,Public,Doctoral/Research Universities
127778,2-year,Public,Associates--Public Rural-serving Small
127787,2-year,Private for-profit,Associates--Private For-profit
127820,2-year,Public,Associates--Public Urban-serving Multicampus
127839,2-year,Private for-profit,Associates--Private For-profit
127884,2-year,Public,Associates--Public Rural-serving Large
127909,2-year,Public,Associates--Public Suburban-serving Multicampus
127918,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
127945,4-year,Private for-profit,Schools of art- music- and design
128106,4-year,Public,Masters Colleges and Universities--smaller programs
128179,2-year,Private for-profit,Associates--Private For-profit
128188,2-year,Private for-profit,Associates--Private For-profit
128258,2-year,Public,Associates--Public Rural-serving Medium
128391,4-year,Public,Baccalaureate Colleges--Arts & Sciences
128498,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
128577,2-year,Public,Associates--Public Suburban-serving Single Campus
128683,4-year,Private for-profit,Baccalaureate/Associates Colleges
128744,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
128771,4-year,Public,Masters Colleges and Universities--larger programs
128902,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
129020,4-year,Public,Research Universities--very high research activity
129154,4-year,Private not-for-profit,Associates--Private Not-for-profit
129215,4-year,Public,Masters Colleges and Universities--smaller programs
129242,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
129367,2-year,Public,Associates--Public Urban-serving Single Campus
129525,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
129543,2-year,Public,Associates--Public Rural-serving Medium
129695,2-year,Public,Associates--Public Suburban-serving Single Campus
129729,2-year,Public,Associates--Public Rural-serving Large
129756,2-year,Public,Associates--Public Suburban-serving Single Campus
129774,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
129808,2-year,Public,Associates--Public Rural-serving Medium
129941,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
130004,2-year,Public,Associates--Public Rural-serving Large
130040,2-year,Public,Associates--Public Suburban-serving Single Campus
130110,4-year,Private for-profit,Schools of art- music- and design
130183,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
130217,2-year,Public,Associates--Public Rural-serving Medium
130226,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
130253,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
130314,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
130396,2-year,Public,Associates--Public Urban-serving Multicampus
130448,4-year,Private not-for-profit,Associates--Private Not-for-profit
130493,4-year,Public,Masters Colleges and Universities--larger programs
130590,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
130606,2-year,Public,Associates--Public Suburban-serving Single Campus
130697,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
130776,4-year,Public,Masters Colleges and Universities--medium programs
130794,4-year,Private not-for-profit,Research Universities--very high research activity
130891,2-year,Public,Associates--Public Rural-serving Medium
130907,2-year,Public,Associates--Public Rural-serving Medium
130916,2-year,Public,Associates--Public Urban-serving Multicampus
130934,4-year,Public,Masters Colleges and Universities--medium programs
130943,4-year,Public,Research Universities--very high research activity
130989,4-year,Private not-for-profit,Schools of business and management
131098,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
131113,4-year,Private not-for-profit,Doctoral/Research Universities
131159,4-year,Private not-for-profit,Doctoral/Research Universities
131283,4-year,Private not-for-profit,Research Universities--high research activity
131308,4-year,Private not-for-profit,Schools of art- music- and design
131399,4-year,Public,Masters Colleges and Universities--smaller programs
