universityid,level,institution_type,specific_college_type
450243,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
450252,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
450261,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
450270,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
450289,2-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
450298,4-year,Private for-profit,Not applicable- not in Carnegie universe
450377,4-year,Private for-profit,Not applicable- not in Carnegie universe
450401,2-year,Private for-profit,Associates--Private For-profit
450429,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
450447,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
450465,4-year,Private for-profit,Associates--Private For-profit
450526,4-year,Private for-profit,Baccalaureate Colleges--Arts & Sciences
450535,4-year,Private for-profit,Other health professions schools
450571,4-year,Private for-profit,Associates--Private For-profit
450696,2-year,Private for-profit,Associates--Private For-profit
450702,2-year,Private for-profit,Associates--Private For-profit
450933,4-year,Private for-profit,Masters Colleges and Universities--larger programs
451060,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
451404,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
451556,4-year,Private for-profit,Associates--Private For-profit
451662,4-year,Private for-profit,Schools of art- music- and design
451671,4-year,Public,Masters Colleges and Universities--medium programs
451699,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
451750,4-year,Private for-profit,Baccalaureate/Associates Colleges
451769,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
451796,4-year,Private for-profit,Schools of art- music- and design
451820,4-year,Private for-profit,Schools of art- music- and design
451848,4-year,Private for-profit,Schools of art- music- and design
451875,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
451936,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
451945,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
451954,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
451963,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
451972,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
451981,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
451990,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
452018,4-year,Private for-profit,Schools of art- music- and design
452027,4-year,Private for-profit,Schools of art- music- and design
452063,2-year,Private for-profit,Associates--Private For-profit
452115,2-year,Private for-profit,Not applicable- not in Carnegie universe
452373,2-year,Private for-profit,Associates--Private For-profit
