universityid,med_sat_value,med_sat_percentile,grad_100_value,grad_100_percentile,passing_rate
110662,796,98,69.0,99,96.3
110671,730,69,41.0,83,89.0
110680,709,97,56.2,93,94.2
110705,786,92,67.9,98,91.9
110714,671,71,50.1,90,88.8
110945,696,51,44.6,53,27.4
111009,652,49,40.0,51,79.4
111081,799,87,51.5,64,85.0
111188,686,69,42.6,85,82.1
111434,718,42,5.0,24,65.6
111461,790,97,8.1,43,76.2
111638,573,39,11.1,11,62.5
111887,755,29,7.1,37,73.8
111896,833,32,3.8,14,57.6
111920,580,3,8.1,43,77.3
111939,620,8,5.7,29,73.2
111948,703,84,59.4,76,90.7
111966,673,0,53.4,78,100.0
112075,713,36,53.7,68,76.3
112084,697,25,31.2,31,68.3
112172,699,75,12.1,62,72.4
112190,584,33,10.3,54,68.3
112260,806,96,83.6,95,96.2
112385,579,29,7.1,37,61.1
112394,698,61,18.8,46,80.4
112446,552,8,100.0,100,56.9
112561,582,68,5.6,28,57.8
112570,585,6,31.5,32,63.6
112686,547,10,4.6,20,63.2
112826,519,77,6.9,35,67.1
113096,662,48,8.0,42,77.0
113111,740,86,7.2,37,71.2
113193,785,83,11.7,61,64.1
113218,636,52,3.7,13,72.3
113236,733,31,8.6,47,73.3
113333,750,53,45.1,98,79.0
113573,710,79,4.2,17,75.1
113582,569,54,0.0,0,62.5
113634,536,18,15.7,73,71.6
113698,738,51,36.0,40,85.7
113856,844,0,10.5,55,73.2
113980,826,26,10.0,52,78.9
114123,713,64,95.8,99,80.5
114266,597,68,5.3,26,73.8
114354,837,54,47.5,89,93.5
114390,667,61,56.3,77,100.0
114415,686,76,57.2,86,78.8
114433,814,92,17.7,79,52.4
114716,595,20,50.7,98,70.7
114789,633,45,4.4,19,64.8
114813,524,23,42.8,50,82.6
114859,753,81,5.3,26,75.3
114938,720,34,6.4,32,68.7
115001,593,99,5.6,28,77.0
115126,551,77,8.5,46,73.0
115296,751,26,4.2,17,69.1
115393,501,70,7.8,40,73.2
115409,806,99,85.7,96,99.5
115454,632,75,28.0,33,63.0
115472,678,97,31.2,39,57.3
115490,621,7,38.0,49,72.0
115515,643,36,30.5,36,56.9
115533,591,92,31.1,38,73.7
115728,671,7,24.7,20,74.0
115755,512,41,10.8,17,77.6
115773,819,54,52.4,66,69.2
115861,719,75,3.1,10,74.7
116439,794,16,16.8,77,78.8
116466,521,7,10.7,26,56.6
116475,820,69,8.3,16,51.2
116484,754,62,0.0,0,56.0
116846,562,55,68.8,85,83.3
117052,547,92,9.3,49,67.3
117104,605,11,39.0,44,62.8
117113,683,15,40.3,86,62.0
117140,806,42,38.6,43,87.9
117168,663,58,53.3,67,84.2
117195,739,7,21.1,86,59.3
117247,672,94,10.0,52,57.3
117274,657,100,10.1,53,47.5
117557,814,41,0.0,0,73.3
117627,590,10,29.7,28,76.2
117645,596,5,4.9,22,73.2
117690,618,51,7.6,39,69.0
117706,571,74,8.5,46,74.8
117715,756,28,1.2,1,59.9
117724,731,20,7.9,41,63.7
117733,850,22,4.7,20,75.7
117751,638,66,47.8,58,80.8
117788,759,41,3.1,10,61.4
117867,659,2,1.8,3,69.5
117894,751,60,8.0,42,71.9
117928,619,9,20.1,50,54.5
117946,536,84,66.8,84,91.4
118198,544,89,70.5,87,67.3
118259,655,88,0.0,0,83.9
118277,758,12,0.0,0,83.6
118286,826,60,0.0,0,88.5
118347,792,36,10.9,57,71.1
118541,734,56,52.3,82,66.5
118684,651,43,3.6,13,65.8
118693,756,29,28.0,25,81.5
118718,792,65,4.1,16,73.7
118772,613,18,4.2,17,50.3
118888,558,76,53.0,66,81.2
118912,655,81,10.7,56,67.0
118930,584,78,7.7,39,70.4
118976,716,64,3.3,11,70.6
119067,728,36,6.5,33,65.9
119137,521,28,14.3,70,74.9
119164,727,66,8.3,44,78.9
119173,548,10,51.7,65,79.2
119216,703,28,4.9,22,69.7
119270,535,73,0.0,0,56.0
119331,516,82,9.7,51,76.2
119359,740,13,63.9,81,80.2
119508,694,12,52.2,67,56.4
119544,640,31,6.7,12,60.0
119605,563,2,15.4,8,76.6
119775,782,92,10.0,23,50.0
120184,531,21,36.5,40,76.9
120254,527,91,82.8,95,93.0
120290,615,6,10.2,53,76.7
120342,650,26,10.7,56,77.2
120403,842,29,52.0,65,80.9
120421,707,66,8.0,42,69.1
120537,607,16,27.3,24,73.1
120661,682,59,78.8,94,69.2
120865,570,34,23.6,18,84.6
120883,709,80,39.8,45,86.6
120953,506,50,13.6,68,56.2
120971,768,77,8.5,46,72.5
121044,733,71,11.1,58,64.5
121150,796,87,70.3,86,91.7
121257,533,92,73.0,88,90.8
121275,758,44,76.0,29,75.6
