universityid,state
130989,Delaware
131098,Delaware
131113,Delaware
131159,District of Columbia
131283,District of Columbia
131308,District of Columbia
131399,District of Columbia
131450,District of Columbia
131469,District of Columbia
131496,District of Columbia
131520,District of Columbia
131742,Virginia
131803,District of Columbia
131876,District of Columbia
132338,Florida
132408,Florida
132471,Florida
132602,Florida
132657,Florida
132693,Florida
132709,Florida
132806,Florida
132842,Florida
132851,Florida
132879,Florida
132903,Florida
133021,Florida
133085,Florida
133386,Florida
133465,Florida
133492,Florida
133508,Florida
133526,Florida
133553,Florida
133650,Florida
133669,Florida
133702,Florida
133711,Florida
133809,Florida
133845,Florida
133854,Florida
133863,Florida
133872,Florida
133881,Florida
133951,Florida
133960,Florida
133979,Florida
133997,Florida
134079,Florida
134097,Florida
134112,Florida
134121,Florida
134130,Florida
134149,Florida
134237,Florida
134343,Florida
134495,Florida
134510,Florida
134608,Florida
134680,Florida
134811,Florida
134909,Florida
134945,Florida
135063,Florida
135081,Florida
135124,Florida
135160,Florida
135188,Florida
135364,Georgia
135391,Florida
135717,Florida
135726,Florida
135939,Florida
135957,Florida
136066,Florida
136145,Florida
136172,Florida
136206,Florida
136215,Florida
136233,Florida
136288,Florida
136330,Florida
136358,Florida
136400,Florida
136473,Florida
136516,Florida
136774,Florida
136950,Florida
137032,Florida
137078,Florida
137096,Florida
137148,Florida
137209,Florida
137281,Florida
137315,Florida
137351,Florida
137476,Florida
137546,Florida
137564,Florida
137759,Florida
137801,Florida
137810,Florida
137847,Florida
137953,Florida
137962,Florida
138187,Florida
138275,Florida
138293,Florida
138309,Florida
138354,Florida
138558,Georgia
138600,Georgia
138655,Georgia
138682,Georgia
138691,Georgia
138716,Georgia
138761,Georgia
138789,Georgia
138813,Georgia
138840,Georgia
138868,Georgia
138901,Georgia
138947,Georgia
138956,Georgia
139010,Georgia
139074,Georgia
139144,Georgia
139153,Georgia
139199,Georgia
139205,Georgia
139214,Georgia
139250,Georgia
139278,Georgia
139287,Georgia
139311,Georgia
139357,Georgia
139366,Georgia
139384,Georgia
139393,Georgia
139463,Georgia
139579,Georgia
139621,Georgia
139630,Georgia
139658,Georgia
139700,Georgia
139719,Georgia
139755,Georgia
139764,Georgia
139861,Georgia
139904,Georgia
139931,Georgia
139940,Georgia
139959,Georgia
139968,Georgia
139986,Georgia
139995,Georgia
140003,Georgia
140012,Georgia
140164,Georgia
140234,Georgia
140243,Georgia
140252,Georgia
140331,Georgia
140340,Georgia
140447,Georgia
140553,Georgia
140599,Georgia
140678,Georgia
140696,Georgia
140720,Georgia
140818,Georgia
140872,Georgia
140942,Georgia
140951,Georgia
140960,Georgia
140988,Georgia
141006,Georgia
141060,Georgia
141097,Georgia
141158,Georgia
141167,Georgia
141185,Georgia
141237,Georgia
141255,Georgia
141264,Georgia
141325,Georgia
141334,Georgia
141361,Georgia
141468,Hawaii
141486,Hawaii
141565,Hawaii
141574,Hawaii
141644,Hawaii
141680,Hawaii
141796,Hawaii
141802,Hawaii
141811,Hawaii
141839,Hawaii
141981,Hawaii
141990,Hawaii
142054,Idaho
142090,Idaho
142115,Idaho
142179,Idaho
142276,Idaho
142285,Idaho
142294,Idaho
142328,Idaho
142337,Idaho
142443,Idaho
142461,Idaho
142522,Idaho
142559,Idaho
142887,Illinois
143048,Illinois
143084,Illinois
143118,Illinois
143215,Illinois
143279,Illinois
143288,Illinois
143358,Illinois
143613,Illinois
144005,Illinois
144050,Illinois
144157,Illinois
144166,Illinois
144175,Illinois
144184,Illinois
144193,Illinois
144209,Illinois
144218,Illinois
144281,Illinois
144351,Illinois
144467,Illinois
144485,Illinois
144564,Illinois
144740,Illinois
144865,Illinois
144883,Illinois
144892,Illinois
144944,Illinois
144962,Illinois
144971,Illinois
145239,Illinois
145372,Illinois
145460,Illinois
145497,Illinois
145521,Illinois
145600,Illinois
145619,Illinois
145637,Illinois
145646,Illinois
145682,Illinois
145691,Illinois
145707,Illinois
145725,Illinois
145770,Illinois
145813,Illinois
145831,Illinois
146010,Illinois
146205,Illinois
146278,Illinois
146296,Illinois
146339,Illinois
146348,Illinois
146366,Illinois
146393,Illinois
146418,Illinois
146427,Illinois
146472,Illinois
146481,Illinois
146506,Illinois
146603,Illinois
146612,Illinois
146667,Illinois
146676,Illinois
146685,Illinois
146700,Illinois
146719,Illinois
146755,Illinois
146816,Illinois
146825,Illinois
147004,Illinois
147013,Illinois
147129,Illinois
147165,Illinois
147244,Illinois
147341,Illinois
147369,Illinois
147378,Illinois
147396,Illinois
147411,Illinois
147536,Illinois
147660,Illinois
147679,Illinois
147703,Illinois
147749,Illinois
147767,Illinois
147776,Illinois
147800,Illinois
147828,Illinois
147916,Illinois
148007,Illinois
148131,Illinois
148140,Illinois
148177,Illinois
148256,Illinois
148292,Illinois
148335,Illinois
148380,Illinois
148399,Illinois
148405,Illinois
148487,Illinois
148496,Illinois
148584,Illinois
148627,Illinois
148654,Illinois
148672,Illinois
148821,Illinois
148849,Illinois
148876,Illinois
148937,Illinois
148991,Illinois
149222,Illinois
149231,Illinois
149310,Illinois
149365,Illinois
149505,Illinois
149514,Illinois
149532,Illinois
149639,Illinois
149727,Illinois
149772,Illinois
149781,Illinois
149842,Illinois
150048,Indiana
150066,Indiana
150136,Indiana
150145,Indiana
150163,Indiana
150172,Indiana
150251,Indiana
150400,Indiana
150455,Indiana
150534,Indiana
150604,Indiana
150668,Indiana
150677,Indiana
150756,Indiana
150774,Indiana
150941,Indiana
150987,Indiana
151102,Indiana
151111,Indiana
151166,Indiana
151263,Indiana
151290,Indiana
151306,Indiana
151324,Indiana
151333,Indiana
151342,Indiana
151351,Indiana
151360,Indiana
151379,Indiana
151388,Indiana
151458,Indiana
151467,Indiana
151494,Tennessee
151500,Indiana
151519,Indiana
151616,Indiana
151625,Indiana
151661,Indiana
151777,Indiana
151786,Indiana
151801,Indiana
151810,Indiana
151944,Indiana
152080,Indiana
152099,Indiana
152248,Indiana
152266,Indiana
152318,Indiana
152336,Indiana
152363,Indiana
152381,Indiana
152390,Indiana
152415,Indiana
152530,Indiana
152567,Indiana
152600,Indiana
152637,Indiana
152673,Indiana
152798,Iowa
152822,Iowa
152992,Iowa
153001,Iowa
153108,Iowa
153126,Iowa
153144,Iowa
153162,Iowa
153214,Iowa
153241,Iowa
153250,Iowa
153269,Iowa
153278,Iowa
153296,Iowa
153302,Iowa
153311,Iowa
153320,Iowa
153366,Iowa
153375,Iowa
153384,Iowa
153409,Iowa
153418,Iowa
153427,Iowa
153445,Iowa
153472,Iowa
153524,Iowa
153533,Iowa
153603,Iowa
153621,Iowa
153630,Iowa
153658,Iowa
153737,Iowa
153825,Iowa
153834,Iowa
153861,Iowa
153922,Iowa
153977,Iowa
154004,Iowa
154013,Iowa
154022,Iowa
154059,Iowa
154095,Iowa
154101,Iowa
154110,Iowa
154129,Iowa
154235,Iowa
154262,Iowa
154350,Iowa
154378,Iowa
154396,Iowa
154493,Iowa
154518,Iowa
154527,Iowa
154572,Iowa
154590,Iowa
154642,Kansas
154688,Kansas
154697,Kansas
154712,Kansas
154721,Kansas
154749,Kansas
154767,Kansas
154776,Kansas
154794,Kansas
154800,Kansas
154855,Kansas
154907,Kansas
154925,Kansas
154934,Kansas
154952,Kansas
154998,Kansas
155007,Kansas
155025,Kansas
155052,Kansas
155061,Kansas
155070,Kansas
155089,Kansas
155098,Kansas
155104,Kansas
155140,Kansas
155177,Kansas
155186,Kansas
155195,Kansas
155201,Kansas
155210,Kansas
155283,Missouri
155292,Kansas
155317,Kansas
155335,Kansas
155399,Kansas
155414,Kansas
155450,Kansas
155487,Kansas
155496,Kansas
155511,Kansas
155520,Kansas
155566,Kansas
155593,Kansas
155618,Kansas
155627,Kansas
155681,Kansas
155715,Kansas
155812,Kansas
155830,Kansas
155858,Kansas
155900,Kansas
155937,Kansas
155973,Kansas
156082,Kansas
156107,Kansas
156125,Kansas
156189,Kentucky
156213,Kentucky
156231,Kentucky
156286,Kentucky
156295,Kentucky
156338,Kentucky
156356,Kentucky
156365,Kentucky
156392,Kentucky
156408,Kentucky
156417,Kentucky
156471,Kentucky
156541,Kentucky
156620,Kentucky
156648,Kentucky
156745,Kentucky
156790,Kentucky
156851,Kentucky
156860,Kentucky
156903,Kentucky
156921,Kentucky
157021,Kentucky
157058,Kentucky
157076,Kentucky
157085,Kentucky
157100,Kentucky
157216,Kentucky
157270,Kentucky
157289,Kentucky
157304,Kentucky
157331,Kentucky
157359,Kentucky
157377,Kentucky
157386,Kentucky
157401,Kentucky
157438,Kentucky
157447,Kentucky
