state_b5,program_type_b5,grad_100,grad_100_rate,state_b1,state_abbrevation_b1,organization_type_b1,level_b1,year_b1,gender_b1,race_b1,state_b2,state_abbrevation_b2,organization_type_b2,level_b2,university_count,counted_pct,awards_per_state_value_b2,state_b3,student count,awards_per_value,awards_per_state_value_b3,fte_value,city,state_b4,level_b4,institution_type,specific_college_type,website,universityid_pub,med_sat_value,med_sat_percentile,grad_100_value,grad_100_percentile,passing_rate_med,universityid_priv,year,gender_b6,race_b6,program_type_b6,passing_rate_b6
Alabama,4y bach,30,21,Alabama,AL,Private for-profit,4-year,2011,Male,Unspecified,Alaska,AK,Private for-profit,2-year,0,0,0,Alabama,4686,17.1,15.9,3611,Dothan,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.wallace.edu,101286,0,0,2.3,5,56,100760,2011,Female,Asian,2y all,348
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2012,Both Gender,Asian,Arizona,AZ,Public,4-year,4,63.9,22,Alabama,5281,18.8,15.9,4486,Hanceville,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.wallacestate.edu,101295,0,0,11.9,61,63.7,100760,2012,Both Gender,Unspecified,2y all,99
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2012,Both Gender,American Indian,Arizona,AZ,Private not-for-profit,4-year,4,62.3,21.7,Alabama,1745,23.8,15.9,1574,Selma,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.wccs.edu,101301,0,0,10.6,55,53.1,100760,2012,Male,Unspecified,2y all,137
Alabama,4y bach,15,20,Alabama,AL,Private for-profit,4-year,2012,Both Gender,Black,Arizona,AZ,Private for-profit,4-year,23,48,32.8,Alabama,320,50,29.1,338,Birmingham,Alabama,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.herzing.edu/birmingham,101365,0,0,0,0,50,100760,2012,Female,Unspecified,2y all,311
Alabama,4y bach,1,25,Alabama,AL,Private for-profit,4-year,2012,Both Gender,Hispanic,Arizona,AZ,Public,2-year,20,24.5,20.4,Alabama,1110,22.2,17.8,1078,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.huntingdon.edu,101435,999,28,30.4,30,62,100760,2012,Both Gender,White,2y all,104
Alabama,4y bach,30,33.7,Alabama,AL,Private for-profit,4-year,2012,Both Gender,White,Arizona,AZ,Private not-for-profit,2-year,0,0,0,Alabama,1383,19.3,15.9,921,Huntsville,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.drakestate.edu,101462,0,0,15.4,72,42.3,100760,2012,Male,White,2y all,167
Alabama,4y bach,55,23.4,Alabama,AL,Private for-profit,4-year,2012,Both Gender,Unspecified,Arizona,AZ,Private for-profit,2-year,12,44.9,36.8,Alabama,7588,18.1,18.8,6856,Jacksonville,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.jsu.edu/,101480,1036,57,10.1,16,71.1,100760,2012,Female,White,2y all,198
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2012,Female,Asian,Arkansas,AR,Public,4-year,10,67.3,19.6,Alabama,1091,20.1,15.9,935,Brewton,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.jdcc.edu,101499,0,0,13.6,68,51.8,100760,2012,Both Gender,Black,2y all,187
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2012,Female,American Indian,Arkansas,AR,Private not-for-profit,4-year,12,78.3,19.4,Alabama,8542,15.8,15.9,6041,Birmingham,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,www.jeffstateonline.com,101505,0,0,1.8,3,52.4,100760,2012,Male,Black,2y all,264
Alabama,4y bach,9,23.1,Alabama,AL,Private for-profit,4-year,2012,Female,Black,Arkansas,AR,Private for-profit,4-year,2,65.1,20.8,Alabama,11186,12.8,15.9,7911,Tanner,Alabama,2-year,Public,Associates--Public Rural-serving Large,www.calhoun.edu,101514,0,0,6.2,32,57.5,100760,2012,Female,Black,2y all,73
